bogstav,parti,parti-engelsk,holdning,farve
A,Socialdemokratiet,Social Democrats,Centre-left,#b32722
B,Radikale Venstre,Social Liberal Party,Centre-left,#713280
C,Konservative,Conservative People's Party,Right-wing,#9eba27
D,Nye Borgerlige,New Right,Far-right,#054f5c
F,Socialistisk Folkeparti,Socialist People's Party,Left-wing,#dd0878
I,Liberal Alliance,Liberal Alliance,Right-wing,#21c6cf
K,Kristendemokraterne,Christian Democrats,Centre-right,#bababa
M,Moderaterne,Moderates,Centre-right,#6c39e5
O,Dansk Folkeparti,Danish People's Party,Far-right,#f3cd41
Q,Frie Grønne,Free Greens,Centre-left,#00e66a
V,Venstre,Danish Liberal Party,Centre-right,#006697
Æ,Danmarksdemokraterne,Denmark Democrats,Right-wing,#8ac3ff
Ø,Enhedslisten,Red-Green Alliance,Far-left,#ed8019
Å,Alternativet,The Alternative,Centre-left,#2a8f39
UFG,Løsgænger,Independent,Non-Aligned,#cccccc
